Geography,Households_receiving_food_stamps_SNAP_Estimate
Census Tract 1.01,15.0
Census Tract 1.02,43.0
Census Tract 1.03,3.0
Census Tract 1.04,18.0
Census Tract 1.05,0.0
Census Tract 10,131.0
Census Tract 101.01,74.0
Census Tract 101.02,48.0
Census Tract 102,139.0
Census Tract 103,228.0
Census Tract 104,91.0
Census Tract 105,53.0
Census Tract 106,100.0
Census Tract 11.01,75.0
Census Tract 11.02,24.0
Census Tract 12,0.0
Census Tract 13.02,20.0
Census Tract 13.03,125.0
Census Tract 13.04,143.0
Census Tract 2,49.0
Census Tract 3,107.0
Census Tract 4,24.0
Census Tract 5,22.0
Census Tract 6,71.0
Census Tract 7,109.0
Census Tract 8,0.0
Census Tract 9,144.0
